title,category,date,link
tawaran jabatan komisaris untuk riezky aprilia pdip demi harun masiku,Lainnya,07/05/2025,https://nasional.kompas.com/read/2025/05/07/16021941/tawaran-jabatan-komisaris-untuk-riezky-aprilia-pdip-demi-harun-masiku
ini profil 4 wali kota dan bupati baru jakarta,Lainnya,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/19414881/ini-profil-4-wali-kota-dan-bupati-baru-jakarta
deretan artis yang hadiri pernikahan luna maya dan maxime bouttier,Hiburan,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/203200566/deretan-artis-yang-hadiri-pernikahan-luna-maya-dan-maxime-bouttier
"kakak luna maya, tipi jabrik, lega adiknya akhirnya menikah dengan maxime bouttier",Lainnya,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/183500566/kakak-luna-maya-tipi-jabrik-lega-adiknya-akhirnya-menikah-dengan-maxime
mkgr masih buka pintu jika jokowi dan gibran ingin bergabung,Politik,07/05/2025,https://nasional.kompas.com/read/2025/05/07/20303821/mkgr-masih-buka-pintu-jika-jokowi-dan-gibran-ingin-bergabung
"mkd tetapkan ahmad dhani langgar kode etik, kasus apa dan bagaimana sanksinya?",Lainnya,07/05/2025,https://www.kompas.com/tren/read/2025/05/07/193000465/mkd-tetapkan-ahmad-dhani-langgar-kode-etik-kasus-apa-dan-bagaimana
tangis haru luna maya saat maxime bouttier ucapkan ijab kabul,Lainnya,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/165559666/tangis-haru-luna-maya-saat-maxime-bouttier-ucapkan-ijab-kabul
"kecelakaan maut di kalijambe purworejo, 5 ibu guru dinyatakan tewas, 1 sopir luka berat",Pendidikan,07/05/2025,https://www.kompas.com/jawa-timur/read/2025/05/07/162231188/kecelakaan-maut-di-kalijambe-purworejo-5-ibu-guru-dinyatakan-tewas-1
"link live streaming psg vs arsenal di leg 2 semifinal liga champions, kickoff kamis pukul 02.00 wib",Olahraga,07/05/2025,https://www.kompas.com/kalimantan-timur/read/2025/05/07/232420788/link-live-streaming-psg-vs-arsenal-di-leg-2-semifinal-liga
latar belakang konflik india dan pakistan,Militer,07/05/2025,https://www.kompas.com/stori/read/2025/05/07/180000979/latar-belakang-konflik-india-dan-pakistan
lima rt di jakarta selatan terendam banjir akibat hujan deras dan luapan kali,Lainnya,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/16041591/lima-rt-di-jakarta-selatan-terendam-banjir-akibat-hujan-deras-dan-luapan
pihak hasto nyatakan rekaman yang jadi bukti kpk ilegal karena tak berizin,Lainnya,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17250591/pihak-hasto-nyatakan-rekaman-yang-jadi-bukti-kpk-ilegal-karena-tak-berizin
"joki utbk unhas makassar mahasiswi kedokteran berprestasi, tergiur imbalan rp 2 juta",Kesehatan,07/05/2025,https://regional.kompas.com/read/2025/05/07/192802378/joki-utbk-unhas-makassar-mahasiswi-kedokteran-berprestasi-tergiur-imbalan
"prediksi line up psg vs arsenal: partey kembali, dembele siap beraksi",Lainnya,07/05/2025,https://bola.kompas.com/read/2025/05/07/16272408/prediksi-line-up-psg-vs-arsenal-partey-kembali-dembele-siap-beraksi
india vs pakistan bisa jadi perang habis-habisan,Internasional,07/05/2025,https://www.kompas.com/global/read/2025/05/07/173146270/india-vs-pakistan-bisa-jadi-perang-habis-habisan
"100 password yang mudah diretas kurang dari 1 detik, sebaiknya jangan dipakai",Lainnya,07/05/2025,https://www.kompas.com/tren/read/2025/05/07/203000165/100-password-yang-mudah-diretas-kurang-dari-1-detik-sebaiknya-jangan
"sukses jadi mak comblang luna maya dan maxime bouttier, nagita slavina: happy lahir batin",Lainnya,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/180108366/sukses-jadi-mak-comblang-luna-maya-dan-maxime-bouttier-nagita-slavina-happy
"saat jokowi tak datang sidang ijazah, malah bernyanyi dengan andrea hehanussa",Politik,07/05/2025,https://regional.kompas.com/read/2025/05/07/163741678/saat-jokowi-tak-datang-sidang-ijazah-malah-bernyanyi-dengan-andrea
canda prabowo: bill gates lebih pancasila daripada kita,Politik,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17333351/canda-prabowo-bill-gates-lebih-pancasila-daripada-kita
